No.,Kode Obat,Nama Obat,Golongan Obat,Kategori Obat,Frekuensi,Jumlah Terjual,Satuan,Total Nominal,Persentase,Persentase Kumulatif,Kategori Pareto,Stok,Kebutuhan Perperiode,Jumlah Pengadaan,Harga Beli,Nama Supllier,Status,Transaksi Terakhir
121,Lans,Lansoprazole 30 mg Novel/10,Obat Keras,,26,"31,00",Strip,"569.799,63","0,18%","40,34%",Pareto A,13,"31,00","18,50","12.285,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
122,OBT2208080002,INFLUVAC TETRA VAKSIN/PC,,,1,"2,00",PC,"566.990,22","0,18%","40,51%",Pareto A,0,"2,00","2,00","199.100,00",APL ID 293873,Potential Lost,05 Sep 2022 
123,T000000000007,Tensimeter Digital OMRON 71-20,Obat Bebas Terbatas,,1,"1,00",PC,"566.793,75","0,18%","40,69%",Pareto A,1,"1,00","0,00","427.928,00",Dwidaya Langgeng Sentosa,Stock On Hand,16 Sep 2022 
124,LASER3,LASERIN DWS 110ML,Obat Bebas Terbatas,,23,"23,00",Botol,"565.520,58","0,18%","40,87%",Pareto A,16,"23,00","7,00","18.709,00",Muda Jaya Sukses,Under Stock,30 Sep 2022 
125,ENE3,ENERVON C Strip,Obat Bebas Terbatas,,39,"105,00",Strip,"556.892,55","0,17%","41,04%",Pareto A,91,"105,00","14,00","3.999,60",Muda Jaya Sukses,Under Stock,30 Sep 2022 
126,SEN1,Sensitif,Obat Bebas Terbatas,,20,"22,00",PC,"555.981,24","0,17%","41,22%",Pareto A,16,"22,00","6,00","19.000,00",SBM (Sabda Badranaya Mulya),Under Stock,29 Sep 2022 
127,I000000000011,Imboost Kid Tablet Hisap,Obat Bebas Terbatas,,16,"16,00",Botol,"555.452,88","0,17%","41,39%",Pareto A,15,"16,00","1,00","26.200,00",Muda Jaya Sukses,Under Stock,28 Sep 2022 
128,0000762,Atorvastatin 20 mg Novell,Obat Keras,,4,"100,00",Tablet,"553.093,02","0,17%","41,56%",Pareto A,292,"100,00","-192,00","4.000,00",Kalista Prima PT,Over Stock,27 Sep 2022 
129,DEXTAM,Dextamin Tab,Obat Keras,,22,"220,00",Tablet,"553.090,80","0,17%","41,74%",Pareto A,233,"220,00","-13,00","1.650,00",Kimia Farma PT,Over Stock,26 Sep 2022 
130,ysm,Yasmin/box 21s,Obat Keras,,2,"2,00",Dus,"552.523,59","0,17%","41,91%",Pareto A,4,"2,00","-2,00","194.179,00",AAM (Anugrah Argon Medica),Over Stock,15 Sep 2022 
131,0000574,Bear Brand 189ml,Minuman,,30,"44,00",KALENG,"548.984,91","0,17%","42,08%",Pareto A,23,"44,00","21,00","9.400,00",Adikara Kelapa,Under Stock,30 Sep 2022 
132,LASA2,Lasal Syr,Obat Keras,,13,"13,00",Botol,"545.458,44","0,17%","42,25%",Pareto A,8,"13,00","5,00","28.000,00",Penta Valen,Under Stock,29 Sep 2022 
133,NEUROB1,NEUROBION TABLET PUTIH 10S,Obat Bebas Terbatas,,19,"21,00",Strip,"541.110,57","0,17%","42,42%",Pareto A,27,"21,00","-6,00","19.349,04",APL ID 293873,Over Stock,30 Sep 2022 
134,L000000000012,Lantus Insulin,Obat Keras,,2,"2,00",PC,"538.092,48","0,17%","42,59%",Pareto A,3,"2,00","-1,00","189.086,00",APL ID 293873,Over Stock,28 Sep 2022 
135,maskerheadl98,Masker JILBAB Sensi/Sachet 5S,Alat Kesehatan,,15,"33,00",SACHET,"535.868,04","0,17%","42,76%",Pareto A,93,"33,00","-60,00","12.250,00",AMS (Antarmitra Sembada),Over Stock,28 Sep 2022 
136,TREM1,Tremenza Syr,Obat Bebas Terbatas,,18,"19,00",Botol,"534.653,70","0,17%","42,92%",Pareto A,9,"19,00","10,00","21.000,00",BSP (Bina San Prima),Under Stock,29 Sep 2022 
137,OXYC,OXYCAN,Alat Kesehatan,,7,"11,00",PC,"532.242,78","0,17%","43,09%",Pareto A,22,"11,00","-11,00","36.470,00",AMS (Antarmitra Sembada),Over Stock,18 Sep 2022 
138,M000000000139,Masker KN95 Sensi,Alat Kesehatan,,4,"80,00",PC,"529.786,35","0,17%","43,26%",Pareto A,120,"80,00","-40,00","5.000,00",AMS (Antarmitra Sembada),Over Stock,15 Sep 2022 
139,BECOM,Becom C/Strip 10s,Obat Bebas Terbatas,,16,"25,00",Strip,"529.266,87","0,17%","43,42%",Pareto A,12,"25,00","13,00","15.750,00",BSP (Bina San Prima),Under Stock,30 Sep 2022 
140,FGTR,FG Trochees,Obat Keras,,14,"270,00",Tablet,"525.179,85","0,16%","43,59%",Pareto A,340,"270,00","-70,00","1.333,33",Sumber Agung Sentosa,Over Stock,30 Sep 2022 
141,OBT2201210001,Fluimucil Eff 600 mg,Obat Keras,,3,"25,00",PC,"520.495,65","0,16%","43,75%",Pareto A,30,"25,00","-5,00","14.600,00",APL ID 293873,Over Stock,18 Sep 2022 
142,safe 2,Safe Care,Obat Bebas Terbatas,,20,"30,00",Botol,"517.104,60","0,16%","43,91%",Pareto A,28,"30,00","2,00","12.982,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
143,KONSI32,Puspita Radja BREE-KHO(K),Konsinyasi,,3,"3,00",Botol,"514.638,18","0,16%","44,07%",Pareto A,1,"3,00","2,00","140.000,00",Puspita Radja Herbal,Under Stock,30 Sep 2022 
144,TRANS4,Transpulmin Baby Balsem 10 gr,Obat Bebas Terbatas,,9,"9,00",Tube,"512.586,90","0,16%","44,23%",Pareto A,9,"9,00","0,00","43.000,00",APL ID 293873,Stock On Hand,27 Sep 2022 
145,Pld,Polident Freshmint 60 Gr,Obat Bebas Terbatas,,6,"6,00",PC,"511.858,74","0,16%","44,39%",Pareto A,4,"6,00","2,00","68.153,00",Sumber Agung Sentosa,Under Stock,30 Sep 2022 
146,NEUR,Neuralgin RX Tab,Obat Keras,,36,"401,00",Tablet,"510.109,38","0,16%","44,55%",Pareto A,401,"401,00","0,00","825,00",Surya Prima Perkasa,Stock On Hand,30 Sep 2022 
147,B000000000013,BM Pregnancy 60s,Obat Bebas Terbatas,,2,"120,00",Tablet,"509.828,55","0,16%","44,71%",Pareto A,188,"120,00","-68,00","3.068,02",Enseval Putra Megatranding PT,Over Stock,25 Sep 2022 
148,ALPA,Alpara/10,Obat Bebas Terbatas,,39,"53,00",Strip,"508.794,03","0,16%","44,87%",Pareto A,26,"53,00","27,00","5.933,33",Barotama Mulya Perkasa,Under Stock,29 Sep 2022 
149,BIOP,BIOPLACENTON GEL,Obat Keras,,15,"15,00",Tube,"507.692,91","0,16%","45,03%",Pareto A,8,"15,00","7,00","24.000,00",Victory Indo Partnership PT,Under Stock,29 Sep 2022 
150,Local,Lacoldin/10s,Obat Bebas Terbatas,,18,"19,00",Strip,"504.488,34","0,16%","45,19%",Pareto A,19,"19,00","0,00","20.000,00",Combi Putra PT,Stock On Hand,30 Sep 2022 
151,Bacto,Bactoderm 10 gr Cr,Obat Keras,,5,"5,00",Tube,"502.257,24","0,16%","45,35%",Pareto A,4,"5,00","1,00","66.900,00",Distriversa Buana Mas PT,Under Stock,20 Sep 2022 
152,M000000000112,Masker CONVEX Sach 2S,Alat Kesehatan,,13,"28,00",PC,"501.012,93","0,16%","45,50%",Pareto A,17,"28,00","11,00","13.500,00",AMS (Antarmitra Sembada),Under Stock,28 Sep 2022 
153,PRAX1,Praxion 100mg/ml Drop Susp 15ml,Obat Bebas Terbatas,,13,"17,00",Botol,"498.897,27","0,16%","45,66%",Pareto A,19,"17,00","-2,00","23.200,00",AMS (Antarmitra Sembada),Over Stock,28 Sep 2022 
154,MICRO,Microlax Tube,Obat Bebas Terbatas,,18,"20,00",Tube,"498.045,90","0,16%","45,81%",Pareto A,17,"20,00","3,00","18.750,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
155,PAND2,Panadol Cold & Flu/10s,Obat Bebas Terbatas,,24,"32,00",Strip,"494.048,79","0,15%","45,97%",Pareto A,7,"32,00","25,00","11.495,36",Sinar Mas Distribusi Nusantara,Under Stock,30 Sep 2022 
156,0000279,Trilac Tablet,Obat Keras,,13,"86,00",Tablet,"493.339,50","0,15%","46,12%",Pareto A,74,"86,00","12,00","3.850,00",AMS (Antarmitra Sembada),Under Stock,28 Sep 2022 
157,OBT2205010001,Simvastatin 20mg HJ/Strip,,,20,"34,00",Strip,"492.158,46","0,15%","46,28%",Pareto A,32,"34,00","2,20","9.333,30",Enseval Putra Megatranding PT,Under Stock,29 Sep 2022 
158,M000000000110,Masker Duckbill KIDS Sensi/5s,Alat Kesehatan,,19,"30,00",SACHET,"490.296,99","0,15%","46,43%",Pareto A,16,"30,00","14,00","12.300,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
159,VIC5,Vicks F44 54 Dws,Obat Bebas Terbatas,,26,"26,00",Botol,"488.364,48","0,15%","46,58%",Pareto A,6,"26,00","20,00","14.136,00",Combi Putra PT,Under Stock,30 Sep 2022 
160,0000375,Noroid Lotion 200ml,Obat Bebas Terbatas,,4,"2,00",Botol,"483.069,78","0,15%","46,73%",Pareto A,1,"2,40","1,87","150.150,00",Sumber Agung Sentosa,Under Stock,30 Sep 2022 
161,cavi,Caviplex/10s,Obat Bebas Terbatas,,30,"56,00",Strip,"478.993,86","0,15%","46,88%",Pareto A,39,"56,00","17,00","7.000,00",Penta Valen,Under Stock,29 Sep 2022 
162,PRML-N,Primolut N(AT),Obat Keras,,2,"60,00",Tablet,"476.733,90","0,15%","47,03%",Pareto A,45,"60,00","15,00","5.548,97",Sumber Agung Sentosa,Under Stock,25 Sep 2022 
163,FreshC5,Fresh Care Strong,Obat Bebas Terbatas,,30,"31,00",PC,"476.722,80","0,15%","47,18%",Pareto A,20,"31,00","11,00","11.560,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
164,OBH C 1,OBH Combi Batuk Berdahak 100 ml Men,Obat Bebas Terbatas,,29,"32,00",Botol,"474.562,74","0,15%","47,33%",Pareto A,12,"32,00","20,00","11.500,00",Barotama Mulya Perkasa,Under Stock,30 Sep 2022 
165,APIAL2,Apialys Syr,Obat Bebas Terbatas,,10,"10,00",Botol,"469.700,94","0,15%","47,48%",Pareto A,7,"10,00","3,00","35.000,00",Kalista Prima PT,Under Stock,29 Sep 2022 
166,D000000000015,D Vit FT 400 IU,Obat Bebas Terbatas,,8,"140,00",Tablet,"469.097,10","0,15%","47,62%",Pareto A,355,"140,00","-215,00","2.500,00",Kalista Prima PT,Over Stock,26 Sep 2022 
167,TREM,Tremenza Tab,Obat Keras,,23,"200,00",Tablet,"467.809,50","0,15%","47,77%",Pareto A,406,"200,00","-206,00","1.500,00",BSP (Bina San Prima),Over Stock,30 Sep 2022 
168,cefi 1,CEFIXIME SYRUP 100 mg 30 Ml,Obat Keras,,11,"11,00",Botol,"467.342,19","0,15%","47,92%",Pareto A,13,"11,00","-2,00","18.000,00",RESTU CAHAYA SEJAHTERA FARMA,Over Stock,30 Sep 2022 
169,0000930,Vicks F44 Dws 100 ml,Obat Bebas Terbatas,,16,"16,00",Botol,"466.917,06","0,15%","48,06%",Pareto A,13,"16,00","3,00","21.962,00",Mulya Wibawa PT,Under Stock,24 Sep 2022 
170,LAP4,Lapifed DM 100 ml,Obat Bebas Terbatas,,10,"11,00",Botol,"466.226,64","0,15%","48,21%",Pareto A,9,"11,00","2,00","32.000,00",Combi Putra PT,Under Stock,26 Sep 2022 
171,VOLTR2,VOLTAREN 50,Obat Keras,,8,"50,00",Tablet,"465.500,70","0,15%","48,35%",Pareto A,81,"50,00","-31,00","6.431,94",Putra Perdana Khadijah,Over Stock,25 Sep 2022 
172,fc 5,Feminine Comfort Hijau,Obat Bebas Terbatas,,9,"14,00",Box,"463.581,51","0,15%","48,50%",Pareto A,10,"14,00","4,00","25.000,00",Adikara Kelapa,Under Stock,30 Sep 2022 
173,C000000000094,Candesartan Tab 8 mg Novell,Obat Keras,,5,"70,00",Tablet,"453.013,20","0,14%","48,64%",Pareto A,88,"70,00","-18,00","4.500,00",AMS (Antarmitra Sembada),Over Stock,27 Sep 2022 
174,0001372,Flagystatin Ovula,Obat Keras,,2,"17,00",SUPPO,"452.237,31","0,14%","48,78%",Pareto A,16,"17,00","1,00","18.498,00",APL ID 293873,Under Stock,23 Sep 2022 
175,MKPL05,Kp Lang 210 ml,Obat Bebas Terbatas,,6,"6,00",Botol,"451.439,22","0,14%","48,92%",Pareto A,6,"6,00","0,00","56.750,00",Mulya Wibawa PT,Stock On Hand,25 Sep 2022 
176,F000000000023,Forxiga 10 mg,Obat Keras,,3,"16,00",Tablet,"451.387,05","0,14%","49,07%",Pareto A,39,"16,00","-23,00","19.533,79",APL ID 293873,Over Stock,23 Sep 2022 
177,0001024,PAMOL SUPPO 125mg,Obat Keras,,8,"22,00",SUPPO,"451.099,56","0,14%","49,21%",Pareto A,17,"22,00","5,00","14.175,00",Enseval Putra Megatranding PT,Under Stock,29 Sep 2022 
178,C000000000089,cutimed sorbect,Obat Keras,,4,"5,00",PC,"450.852,03","0,14%","49,35%",Pareto A,4,"5,00","1,00","64.300,00",Dwidaya Langgeng Sentosa,Under Stock,26 Sep 2022 
179,Fluim2,Fluimucil dry Syr 75 ml,Obat Keras,,5,"5,00",Botol,"438.561,00","0,14%","49,49%",Pareto A,6,"5,00","-1,00","60.000,00",Sumber Agung Sentosa,Over Stock,23 Sep 2022 
180,seloxy1,Seloxy AA kaplet,Obat Bebas Terbatas,,4,"47,00",Tablet,"435.582,87","0,14%","49,62%",Pareto A,27,"47,00","20,00","6.333,33",AAM (Anugrah Argon Medica),Under Stock,25 Sep 2022 
181,vitlon1,Vitalong C/Botol 30s,Obat Bebas Terbatas,,2,"11,00",Botol,"434.858,04","0,14%","49,76%",Pareto A,4,"11,00","7,00","35.000,00",Bintang Maahir Sentosa,Under Stock,19 Sep 2022 
182,C000000000111,Caviplex CDEZ/10s,Obat Bebas Terbatas,,23,"33,00",Strip,"434.140,98","0,14%","49,89%",Pareto A,15,"33,00","18,10","9.000,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
183,CoolPlus01,Cooling Plus Orange,Obat Bebas Terbatas,,10,"10,00",Botol,"432.717,96","0,14%","50,03%",Pareto A,7,"10,00","3,00","32.500,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
184,PROM,PROMAG TABLET KUNYAH 10S,Obat Bebas Terbatas,,42,"54,00",Strip,"432.216,24","0,14%","50,16%",Pareto A,31,"54,00","23,00","6.006,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
185,IMUNO,Imunos Syr,Obat Bebas Terbatas,,5,"5,00",Botol,"430.465,77","0,13%","50,30%",Pareto A,3,"5,00","2,00","65.000,00",Penta Valen,Under Stock,30 Sep 2022 
186,Eye V,Eyevit,Obat Bebas Terbatas,,5,"72,00",KAPSUL,"429.392,40","0,13%","50,43%",Pareto A,66,"72,00","6,00","4.500,00",Penta Valen,Under Stock,29 Sep 2022 
187,P000000000082,Prove D3 1000,Obat Keras,,7,"120,00",Tablet,"428.471,10","0,13%","50,57%",Pareto A,130,"120,00","-10,00","2.500,00",Enseval Putra Megatranding PT,Over Stock,28 Sep 2022 
188,0001607,BM Omega Daily 90,Obat Bebas Terbatas,,1,"90,00",Tablet,"427.782,90","0,13%","50,70%",Pareto A,90,"90,00","0,00","3.181,82",Enseval Putra Megatranding PT,Stock On Hand,03 Sep 2022 
189,GELI1,Ambeven,Obat Bebas Terbatas,,19,"230,00",KAPSUL,"426.161,19","0,13%","50,83%",Pareto A,254,"230,00","-24,00","1.400,00",MULIA PRATAMA FIMADANI,Over Stock,30 Sep 2022 
190,SPTRM,SP Troches Melon 12s,Obat Bebas Terbatas,,25,"26,00",Dus,"425.081,16","0,13%","50,97%",Pareto A,19,"26,00","7,00","12.617,00",Muda Jaya Sukses,Under Stock,28 Sep 2022 
191,0001500,BM Vit C 500 mg 60S,Obat Bebas Terbatas,,3,"180,00",Tablet,"424.397,40","0,13%","51,10%",Pareto A,180,"180,00","0,00","1.647,73",Enseval Putra Megatranding PT,Stock On Hand,29 Sep 2022 
192,K000000000011,Kool Fever Dewasa,Obat Bebas Terbatas,,32,"53,00",PC,"423.841,29","0,13%","51,23%",Pareto A,15,"53,00","38,00","6.016,67",Mulya Wibawa PT,Under Stock,30 Sep 2022 
193,DEGIROL4,DEGIROL ISI 4 PER STRIP,Obat Bebas,Suplemen,36,"72,00",Strip,"423.539,37","0,13%","51,37%",Pareto A,13,"72,00","59,00","4.460,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,27 Sep 2022 
194,C-LYTR1,C Lyteers 15 ml,Obat Bebas Terbatas,,11,"14,00",Botol,"419.829,75","0,13%","51,50%",Pareto A,16,"14,00","-2,00","22.500,00",Langkah Insan Mandiri PT,Over Stock,20 Sep 2022 
195,N000000000031,Nellco Spc PE 100,Obat Bebas Terbatas,,11,"12,00",Botol,"418.885,14","0,13%","51,63%",Pareto A,9,"12,00","3,00","26.354,00",Putra Perdana Khadijah,Under Stock,30 Sep 2022 
196,OBT2208020001,CALITOZ,,,7,"350,00",Tablet,"417.608,64","0,13%","51,76%",Pareto A,250,"350,00","100,00","900,00",PT Parit Padang Global,Under Stock,26 Sep 2022 
197,MYL5,Mylanta Liquid 50 ml,Obat Bebas Terbatas,,25,"25,00",Botol,"408.696,45","0,13%","51,89%",Pareto A,21,"25,00","4,00","12.290,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
198,GLUPH01,Glucophage 500,Obat Keras,,8,"150,00",Tablet,"408.024,90","0,13%","52,01%",Pareto A,140,"150,00","10,00","1.873,94",APL ID 293873,Under Stock,28 Sep 2022 
199,HYP5,Hypafix 5 cm x 1m,Obat Bebas Terbatas,,17,"19,00",PC,"406.308,84","0,13%","52,14%",Pareto A,16,"19,00","3,00","16.300,00",Mutiara Mas Medika,Under Stock,28 Sep 2022 
200,SANMO2,Sanmol Drop,Obat Bebas Terbatas,,15,"18,00",Botol,"404.381,88","0,13%","52,27%",Pareto A,13,"18,00","5,00","16.600,00",BSP (Bina San Prima),Under Stock,30 Sep 2022 
201,IMBO3,Imboost Kid Syr 120 ml,Obat Bebas Terbatas,,6,"6,00",Botol,"403.582,68","0,13%","52,39%",Pareto A,6,"6,00","0,00","50.700,00",Mulya Wibawa PT,Stock On Hand,28 Sep 2022 
202,ESTERH,Ester C Super 30 Holisticare,Obat Bebas Terbatas,,8,"8,00",Botol,"401.398,20","0,13%","52,52%",Pareto A,10,"8,00","-2,00","37.850,00",Marga Nusantara PT,Over Stock,30 Sep 2022 
203,PAND3,Panadol Extra/10s,Obat Bebas Terbatas,,31,"31,00",Strip,"401.142,90","0,13%","52,64%",Pareto A,29,"31,00","2,00","9.599,14",Sinar Mas Distribusi Nusantara,Under Stock,30 Sep 2022 
204,OBT2206140001,Sasak Herbal 100ml,,,2,"2,00",Botol,"400.032,90","0,13%","52,77%",Pareto A,2,"2,00","0,00","150.000,00",Lain-lain Suplayer,Stock On Hand,08 Sep 2022 
205,OBT2206250002,Masker KF94 Orlee 10S,,,21,"26,00",SACHET,"399.238,14","0,12%","52,89%",Pareto A,19,"26,00","7,00","11.500,00",Dwidaya Langgeng Sentosa,Under Stock,29 Sep 2022 
206,vipal,VIP Albumin,Obat Bebas Terbatas,,3,"45,00",KAPSUL,"398.462,25","0,12%","53,02%",Pareto A,55,"45,00","-10,00","6.666,67",Surya Prima Perkasa,Over Stock,20 Sep 2022 
207,LactM,Lactamam Kaplet,Obat Bebas Terbatas,,4,"100,00",KAPLET,"397.380,00","0,12%","53,14%",Pareto A,80,"100,00","20,00","3.000,00",AMS (Antarmitra Sembada),Under Stock,25 Sep 2022 
208,D000000000020,Dermatix Ultra 5 gr,Obat Bebas Terbatas,,3,"3,00",Tube,"397.352,25","0,12%","53,27%",Pareto A,1,"3,00","2,00","100.000,00",APL ID 293873,Under Stock,30 Sep 2022 
209,INTERH,Interhistin/10s,Obat Keras,,19,"29,00",Strip,"397.120,53","0,12%","53,39%",Pareto A,9,"29,50","21,00","8.500,00",KDE (Ka Dua Empat PT),Under Stock,21 Sep 2022 
210,DGT,Digenta Cream 10 gr,Obat Keras,,3,"3,00",Tube,"396.634,08","0,12%","53,52%",Pareto A,2,"3,00","1,00","92.751,00",Mensa Bina Sukses PT,Under Stock,29 Sep 2022 
211,0001311,Concor Tab 2.5 mg,Obat Keras,,4,"42,00",Tablet,"395.448,60","0,12%","53,64%",Pareto A,98,"42,00","-56,00","6.564,95",APL ID 293873,Over Stock,24 Sep 2022 
212,BETAD2,Betadine Gargle 190 cc,Obat Bebas Terbatas,,10,"10,00",Botol,"393.859,08","0,12%","53,76%",Pareto A,11,"10,00","-1,00","29.700,00",SBM (Sabda Badranaya Mulya),Over Stock,26 Sep 2022 
213,INST1,INSTO REGULER 7.5ML,Obat Bebas Terbatas,,27,"27,00",Botol,"392.913,36","0,12%","53,89%",Pareto A,21,"27,00","6,00","11.200,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,30 Sep 2022 
214,AMARYm2,Amaryl M 2,Obat Keras,,3,"40,00",Tablet,"390.353,70","0,12%","54,01%",Pareto A,50,"40,00","-10,00","6.825,17",Combi Putra PT,Over Stock,30 Sep 2022 
215,MUCO2,Mucos Syr,Obat Keras,,13,"16,00",Botol,"389.561,16","0,12%","54,13%",Pareto A,12,"16,00","4,00","16.500,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,28 Sep 2022 
216,Ret,Retivit Plus,Obat Bebas Terbatas,,5,"40,00",Tablet,"386.761,74","0,12%","54,25%",Pareto A,100,"40,00","-60,00","7.140,00",BSP (Bina San Prima),Over Stock,26 Sep 2022 
217,C000000000033,C Glaopen MD,Obat Keras,,2,"3,00",Strip,"385.849,32","0,12%","54,37%",Pareto A,4,"3,00","-1,00","90.250,00",Penta Valen,Over Stock,12 Sep 2022 
218,0000321,Vaclo,Obat Keras,,2,"20,00",Tablet,"384.803,70","0,12%","54,49%",Pareto A,3,"20,00","17,00","13.500,00",AAM (Anugrah Argon Medica),Under Stock,21 Sep 2022 
219,Acan,Acanthe SPF 30 30 gr,Obat Bebas Terbatas,,3,"4,00",Tube,"381.297,21","0,12%","54,61%",Pareto A,3,"4,00","1,00","70.000,00",AAM (Anugrah Argon Medica),Under Stock,22 Sep 2022 
220,Lacol1,LACOLDIN Sirup 60ml,Obat Bebas Terbatas,,13,"13,00",Botol,"380.703,36","0,12%","54,73%",Pareto A,8,"13,00","5,00","22.000,00",Combi Putra PT,Under Stock,26 Sep 2022 
221,RING03,Ringer Lactat Widatra Bhakti,Obat Keras,,5,"38,00",Botol,"379.006,17","0,12%","54,85%",Pareto A,17,"38,00","21,00","6.936,00",Merapi Utama Pharma PT,Under Stock,29 Sep 2022 
222,Nila,Nilacelin Syr,Obat Keras,,10,"10,00",Botol,"378.750,87","0,12%","54,97%",Pareto A,7,"10,00","3,00","27.500,00",Kebayoran Pharma PT,Under Stock,26 Sep 2022 
223,M000000000020,Medscap 30gr,Obat Keras,,2,"4,00",Tube,"376.498,68","0,12%","55,09%",Pareto A,5,"4,00","-1,00","65.450,00",KDE (Ka Dua Empat PT),Over Stock,13 Sep 2022 
224,PCT!,PARACETAMOL 500 strip/10s,Obat Bebas Terbatas,,86,"115,00",Strip,"376.316,64","0,12%","55,20%",Pareto A,76,"115,00","38,60","1.800,00",SBM (Sabda Badranaya Mulya),Under Stock,30 Sep 2022 
225,TEMP4,TEMPRA SYR 30 ML,Obat Bebas Terbatas,,14,"14,00",Botol,"375.852,66","0,12%","55,32%",Pareto A,6,"14,00","8,00","20.200,00",Langkah Insan Mandiri PT,Under Stock,30 Sep 2022 
226,0000283,METHYLPREDNISOLONE 8MG/STRIP 10S,Obat Keras,,34,"43,00",Strip,"375.641,76","0,12%","55,44%",Pareto A,49,"43,60","-5,30","5.318,20",AAM (Anugrah Argon Medica),Over Stock,29 Sep 2022 
227,NEUR 2,NEUROBION INJEKSI,Obat Keras,,12,"21,00",VIAL,"373.884,63","0,12%","55,56%",Pareto A,19,"21,00","2,00","12.017,75",APL ID 293873,Under Stock,28 Sep 2022 
228,S000000000065,Sporetik 30ml,Obat Keras,,3,"3,00",Botol,"372.874,53","0,12%","55,67%",Pareto A,2,"3,00","1,00","85.500,00",BSP (Bina San Prima),Under Stock,26 Sep 2022 
229,Coun04,Counterpain 15 g,Obat Bebas Terbatas,,12,"12,00",Tube,"370.890,96","0,12%","55,79%",Pareto A,7,"12,00","5,00","23.300,00",Combi Putra PT,Under Stock,29 Sep 2022 
230,P000000000063,Patral,Obat Keras,,4,"36,00",Tablet,"370.815,48","0,12%","55,90%",Pareto A,11,"36,00","25,00","7.100,00",Daya Muda Agung PT,Under Stock,29 Sep 2022 
231,I000000000010,Ikalep 250 mg,Obat Keras,,2,"60,00",Tablet,"368.853,00","0,12%","56,02%",Pareto A,30,"60,00","30,00","4.530,00",PT IGM (Indofarma Global Medika),Under Stock,29 Sep 2022 
232,PRORI2,Proris Syr,Obat Bebas Terbatas,,11,"12,00",Botol,"368.675,40","0,12%","56,14%",Pareto A,10,"12,00","2,00","23.000,00",Putra Perdana Khadijah,Under Stock,25 Sep 2022 
233,VOLT02,Voltaren Emulgel 10 Gr,Obat Bebas Terbatas,,6,"6,00",Tube,"368.010,51","0,12%","56,25%",Pareto A,5,"6,00","1,00","46.286,00",Putra Perdana Khadijah,Under Stock,24 Sep 2022 
234,Probio2,Probio C Serum,Obat Keras,,4,"5,00",VIAL,"363.663,75","0,11%","56,36%",Pareto A,3,"5,00","2,50","50.000,00",Distriversa Buana Mas PT,Under Stock,30 Sep 2022 
235,PRORI1,Proris Forte Syr,Obat Bebas Terbatas,,10,"10,00",Botol,"358.241,40","0,11%","56,48%",Pareto A,4,"10,00","6,00","27.000,00",AMS (Antarmitra Sembada),Under Stock,30 Sep 2022 
236,Ob2,Obat Batuk Ibu & Anak 75 ml,Obat Bebas Terbatas,,12,"12,00",Botol,"358.154,82","0,11%","56,59%",Pareto A,19,"12,00","-7,00","23.005,00",Mulya Wibawa PT,Over Stock,25 Sep 2022 
237,MKPL02,KP LANG 30 Ml,Obat Bebas Terbatas,,30,"30,00",Botol,"358.008,30","0,11%","56,70%",Pareto A,19,"30,00","11,00","9.000,00",Mulya Wibawa PT,Under Stock,30 Sep 2022 
238,OBH C5,OBH Combi Anak 60 ml Straw,Obat Bebas Terbatas,,22,"22,00",Botol,"355.430,88","0,11%","56,81%",Pareto A,14,"22,00","8,00","12.150,00",Langkah Insan Mandiri PT,Under Stock,30 Sep 2022 
239,DRAM,Dramamine,Obat Keras,,19,"132,00",Tablet,"354.256,50","0,11%","56,92%",Pareto A,191,"132,00","-59,00","1.780,00",Combi Putra PT,Over Stock,30 Sep 2022 
240,0001618,Vectrine DS 60 ml,Obat Keras,,5,"5,00",Botol,"353.768,10","0,11%","57,03%",Pareto A,1,"5,00","4,00","48.000,00",KDE (Ka Dua Empat PT),Under Stock,30 Sep 2022 
241,FreshC,Fresh Care Original,Obat Bebas Terbatas,,19,"23,00",Botol,"352.493,82","0,11%","57,14%",Pareto A,22,"23,00","1,00","11.560,00",RESTU CAHAYA SEJAHTERA FARMA,Under Stock,28 Sep 2022 
242,0001641,Wellmove Cap/Strip,Obat Bebas Terbatas,,8,"16,00",Strip,"349.898,64","0,11%","57,25%",Pareto A,27,"16,00","-11,00","16.500,00",Salasa Barokah Farma PT,Over Stock,28 Sep 2022 
243,VITAC1,VITACIMIN LEMON/BANDED 2S,Obat Bebas Terbatas,,35,"88,00",BANDED,"346.999,32","0,11%","57,36%",Pareto A,93,"88,00","-5,00","2.948,00",Muda Jaya Sukses,Over Stock,25 Sep 2022 
